numero,code,nom_commercial,groupe_therapeutique,prix_fcfa
1107,3216910,CYCLODEX CP 20 MG B/l 4,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),3160.0
1108,3166988,CYSTINE B6 BAILLEUL CP ENR B/20,"DERMATOLOGIE, TROPHIQUE(CHEVEUX ONGLES): VOIE GENERALE",2576.0
1109,3204654,CYTEAL SOL P APPL CUT FL/250 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",2415.0
1110,3202359,CYTEAL SOL P APPL LOC FL/500 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",4590.0
1111,3287864,"CYTOTEC CP 0,20 MG B/60","GASTRO.E.H., ULCERE GASTRODUODENAL",20390.0
1112,9283041,CYVAS SUSP P INHALAT 250|j G FL/120 DOSES,"PNEUMOLOGIE, ANTIASTHMATIQUE",8570.0
1113,6470067,CYVAX SUSPENSION POUR INHALATION 125/25|JG /DOSE FL/120 DOSES,"PNEUMOLOGIE, ANTIASTHMATIQUE",6300.0
1114,8011747,DACOLD GELULE B/10,"ORL,ANTI-GRIPPE,ANTI-RHUME",1305.0
1115,3473265,DACRYOSERUM SOL P LAV OPHT UNIDOSE B/20,"OPHTALMOLOGIE, ANTISEPTIQUES LOCAUX",3310.0
1116,3028039,DACRYOSERUM SOL P LAVAGE OCULAIRE FL/150ML,"OPHTALMOLOGIE, ANTIBACTERIENS LOCAUX",2315.0
1117,3273655,DAFALGAN SUPPO 600 MG B/10,ANTALGIQUE/ANTIPYRETIQUE,1415.0
1118,2263189,DAFRAZOL GEL 20MG B/28,"GASTRO.E.H., ULCERE GASTRODUODENAL",4550.0
1119,2263169,DAFRAZOL GELULE B/l4,"GASTRO.E.H., ULCERE GASTRODUODENAL",2650.0
1120,8177232,DAGESIL GEL 10MG/MG TUBE DE 100G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),3475.0
1121,3608268,DAIVOBET PDE 50|j G/0.5MG T/65 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",50995.0
1122,3350120,"DAIVONEX 0,005% PDE T/30 G","DERMATOLOGIE, ANTIPSORIASIS",14110.0
1123,3314526,"DAKIN COOPER SOL P APPL LOC 0,5% FL/250 ML","DERMATOLOGIE, ANTISEPTIQUE LOCAL",1802.0
1124,5015672,"DAKIN COOPER SOL P APPL LOC 0,5% FL/500 ML","DERMATOLOGIE, ANTISEPTIQUE LOCAL",2398.0
1125,3268068,DAKTARIN GEL BUCAL 2% T/40 G,"STOMATOLOGIE, ANTIFONGIQUES BUCCAUX",4770.0
1126,3194105,DAKTARIN PDRE P APPL LOC 2% FL/30 G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",2570.0
1127,3066815,DALACINE GELULE 150 MG B/l 2,"ANTIBIOTIQUE, LINCOSANIDE",3720.0
1128,3230108,DANATROL GELULE 200 MG B/40,"ENDOCRINOLOGIE, MEDICAMENT DE L'AXE HYPOPHISO-GONADIQUE",46655.0
1129,8071910,DANMETHER CP 20 MG /120 MG B/24,"PARASITOLOGIE, ANTIPALUDIQUE",2800.0
1130,3180266,DANMETHER PDRE P SUSP BUV 140MG B/12,"PARASITOLOGIE, ANTIPALUDIQUE",2525.0
1131,3180181,DANMETHER PDRE P SUSP BUV 140MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",1685.0
1132,3028097,DAONILCP5MG B/l00,SULFAMIDE ANTIDIABETIQUE,8365.0
1133,3028105,DAONILCP5MG B/20,SULFAMIDE ANTIDIABETIQUE,2027.0
1134,2472990,DAREXYL PDRE P SUSP BUV 3 G/SACH B/10,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",1365.0
1135,8049974,DARTE - Q CP 40 MG/320 MG B/8,"PARASITOLOGIE, ANTIPALUDIQUE",4700.0
1136,3426333,D-ARTEPP CP 80MG/640MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",3820.0
1137,3426319,D-ARTEPP CP DISP 20MG/160MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",1410.0
1138,3426326,D-ARTEPP CP DISPERS 40MG/320MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2785.0
1139,8071873,DAZELKITCP B/10,"INFECTIOLOGIE, DIVERS ANTIBACTERIENS",5195.0
1140,8071875,DAZEL KIT CP B/4,"INFECTIOLOGIE, DIVERS ANTIBACTERIENS",5195.0
1141,3028217,DEBRIDAT AMP INJ 50 MG B/5,"GASTRO.E.H., TROUBLES FONCTIONNELS DIGESTIFS",11570.0
1142,3390467,DEBRIDAT CP 100 MG B/30,"GASTRO.E.H., TROUBLES FONCTIONNELS DIGESTIFS",5375.0
1143,3028252,DEBRIDAT PDRE P SUSP BUV FL/250 ML,"GASTRO.E.H., TROUBLES FONCTIONNELS DIGESTIFS",3135.0
1144,5605050,DEBRIDAT SIROP FL/125ML,"GASTRO.E.H., TROUBLES FONCTIONNELS DIGESTIFS",2360.0
1145,3028246,DEBRIDAT SUPPO 100 MG B/l 0,"GASTRO.E.H., TROUBLES FONCTIONNELS DIGESTIFS",1670.0
1146,3112216,DECAPEPTYL INJ 11.25MG B/l,"CANCEROLOGIE, ANTINEOPLASIQUE",266830.0
1147,3394376,DECAPEPTYL PDRE P P INJ 3.75 inj b/l,"CANCEROLOGIE, ANTINEOPLASIQUE",89665.0
1148,3145982,DECODERM TRI CREME T/25,DERMOCORTICOIDES+ANTI FONGIQUES,4507.0
1149,3164245,DECONTRACTYL BAUME PDE T/80 G,"RHUMATOLOGIE, MYORELAXANT",2555.0
1150,3028476,DECONTRACTYL CP ENR 250 MG B/50,"RHUMATOLOGIE, MYORELAXANT",1595.0
1151,2026848,DECONTRIN BAUME PDE T/40 G,"RHUMATOLOGIE, DOULEURS D'ORIGINE MUSCULAIRE",2625.0
1152,8083296,DEFALCP30MG B/10,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),8260.0
1153,8083379,DEFAL CP 6MG B/20,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),8270.0
1154,3104132,DEFAL SUSPENSION BUVABLE FL/13ML,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),8420.0
1155,3202944,DEFNIL P CP 50/500MG CP SUBLINGUAL B/30,ANTALGIQUE/ANTIPYRETIQUE + AINS,2965.0
1156,3150131,DELABARRE GEL GINGIVAL T/20 G,"STOMATOLOGIE,BAIN DE BOUCHE,GARGARISME ET GELS",2955.0
1157,3028826,DELABARRE SOL GINGIVALE FL/15 ML,"STOMATOLOGIES, ANTI-INFLAMMATOIRE ET/OU ANTIBACTERIEN",3175.0
1158,8413687,DELLER CP 5MG B/l 0,ALLERGOLOGIEzANTIHISTAMINIQUE,2510.0
1159,3301802,DEPAKINE CHRONO CP ENR LP 500 MG B/30,"NEUROLOGIE, ANTIEPILEPTIQUES",10805.0
1160,3029292,DEPAKINE CP ENR 200 MG B/40,"NEUROLOGIE, ANTIEPILEPTIQUES",3325.0
1161,3192276,DEPAKINE CP ENR 500 MG B/40,"NEUROLOGIE, ANTIEPILEPTIQUES",8226.0
1162,3029300,DEPAKINE SOL BUV 20% FL/40 ML,"NEUROLOGIE, ANTIEPILEPTIQUES",4989.0
1163,3263450,DEPAKINE SP SIROP 200 MG/5 ML FL/150 ML,"NEUROLOGIE, ANTIEPILEPTIQUES",5665.0
1164,3207061,DEPAMIDE CP ENR 300 MG B/30,"NEUROLOGIE, ANTIEPILEPTIQUES",6640.0
1165,3029352,DEPO MEDROL SUSP INJ 40 MG/ML B1,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),1945.0
1166,3229648,DEPO MEDROL SUSP INJ 80 MG/2ML B1,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),11530.0
1167,3029412,DERINOX SOL P PULV NAS FL/15 ML,"ORL, DECONGESTIONNANTS",2215.0
1168,3029435,DERMACIDE SOL P APPL CUT FL/250 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",2355.0
1169,3029429,DERMACIDE SOL P APPL LOC FL/500 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",3195.0
1170,8013717,DERMIA D CREME T/30 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2510.0
1171,8037746,DERMIA SALICIA CREME T/30 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2145.0
1172,3006928,DERMITER 250 MG CPRB/30,ANTIFONGIQUE SYSTEMIQUE,19285.0
1173,1304451,DERMITER CREME 1% T/5G,"DERMATOLOGIE, ANTIFONGIQUE",4269.0
1174,3484079,DERMOBACTER SOL P APPL LOC FL/125 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",1557.0
1175,3029530,DERMOCUIVRE PDET/25,"DERMATOLOGIE, TOPIQUE A ACTIVITE TROPHIQUE OU PROTECTRICE",2055.0
1176,2026127,DERMOFIX CREME T/20 G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",3185.0
1177,2027440,DERMOSALIC LOTION DERM FL/30 ML,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2120.0
1178,2027457,DERMOSALIC PDE T/30 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2130.0
1179,2027463,DERMOSONE CREME T/l 5 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1284.0
1180,2027486,DERMOSONE NEO CREME T/l 5 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1285.0
1181,2027492,DERMOSONE NEO PDE T/l5 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1285.0
1182,2027500,DERMOSONE PDE 0,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1284.0
1183,3204329,"DERMOVAL CREME 0,5% T/l0 G","DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1885.0
1184,3352538,DEROXAT CP PELL 20 MG B/l 4,"PSYCHIATRIE, ANTIDEPRESSEURS",11766.0
1185,8086053,DERZOLCP 150 MG B/4,ANTIFONGIQUE SYSTEMIQUE,5540.0
1186,3629795,DESLATYNE CP 5 MG B/l 0,"ALLERGOLOGIE,ANTIHISTAMINIQUE",1793.0
1187,3101201,DESLOCREAT CP PELL 5 MG B/l 0,"ALLERGOLOGIE,ANTIHISTAMINIQUE",1820.0
1188,8082285,DESLOR CP 5MG B/15,"ALLERGOLOGIE,ANTIHISTAMINIQUE",4370.0
1189,3323366,DESLORA DENKCP B/l 0,"ALLERGOLOGIE,ANTIHISTAMINIQUE",2235.0
1190,3990329,DESLORATADINE SP CP PELL 5 MG B/l0,"ALLERGOLOGIE,ANTIHISTAMINIQUE",1685.0
1191,3029955,DESOMEDINECY FL/10ML,"OPHTALMOLOGIE, ANTISEPTIQUES LOCAUX",1890.0
1192,3284506,DETENSIEL CP 10 MG B/28,"ANTIHYPERTENSEUR, BÊTABLOQUANT",5526.0
1193,3209686,DETURGYLONE PDRE ET SOLV P PULV NAS FL/10ML,"ORL, DECONGESTIONNANTS",2840.0
1194,3415917,DEXACYL-Z SOLUTION INJECTABLE 4MG/ML IM/IV B/10,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),4180.0
1195,5050101,"DEXAMEX CY 0,1% FL/5 ML","OPHTALMOLOGIE, ANTI- INFLAMMATOIRES ET ANTIBACTERIENS LOCAUX",1800.0
1196,3485222,DEXEF GELULE 500 MG B/l 2,"ANTIBIOTIQUE, CEPHALOSPORINE",5510.0
1197,3404459,DEXERYL CREME POT DE 250 G,"DERMATOLOGIE, TOPIQUE A ACTIVITE TROPHIQUE OU PROTECTRICE",3800.0
1198,8003943,DEXOPTIC-N CY FL/10ML,"OPHTALMOLOGIE, ANTI- INFLAMMATOIRES ET ANTIBACTERIENS LOCAUX",1930.0
1199,3380796,DEXORICH SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2070.0
1200,3992463,DIABETMIN CP 500 MG B/l 00,BIGUANIDE ANTIDIABETIQUE,1890.0
1201,8096502,DIABIRELCP 1 MG B/30,SULFAMIDE ANTIDIABETIQUE,3430.0
1202,8096531,DIABIREL CP 2 MG B/30,SULFAMIDE ANTIDIABETIQUE,4700.0
1203,8096560,DIABIRELCP 3 MG B/30,SULFAMIDE ANTIDIABETIQUE,7190.0
1204,8096608,DIABIREL CP 4 MG B/30,SULFAMIDE ANTIDIABETIQUE,7190.0
1205,5500590,DIACOL SIROP FL/200 ML,"PNEUMOLOGIE, ANTITUSSIF",2727.0
1206,3192603,DIAFORMINE CP 1000MG B/30,BIGUANIDE ANTIDIABETIQUE,2697.0
1207,3192689,DIAFORMINE CP 500 MG B/30,BIGUANIDE ANTIDIABETIQUE,915.0
1208,3192641,DIAFORMINE CP 850 MG B/30,BIGUANIDE ANTIDIABETIQUE,2240.0
1209,3036297,DIAGLIM CP 1 MG B/30,SULFAMIDE ANTIDIABETIQUE,3225.0
1210,3036334,DIAGLIM CP 2 MG B/30,SULFAMIDE ANTIDIABETIQUE,5265.0
1211,3148648,DIAMIN CP 1000MG B/30,BIGUANIDE ANTIDIABETIQUE,2510.0
1212,3030527,DIAMOX CP 250 MG B/24,"OPHTALMOLOGIE, ANTIGLAUCOMATEUX",4715.0
1213,3050533,DIAMOX PDRE P P INJ 500 MG B/l,"OPHTALMOLOGIE, ANTIGLAUCOMATEUX",1310.0
1214,3331071,DIANTALEX COMPRIMES SECABLES 500MG/250MG/50MG B/l 0,ANTALGIQUE/ANTIPYRETIQUE + AINS,1270.0
1215,8020002,DIAPRIDE PLUS CP PELL SR 2MG/500MG B/30,AUTRES ANTIDIABETIQUES,6325.0
1216,8024796,DIAPRIDE-1 CP 1 G B/30,SULFAMIDE ANTIDIABETIQUE,3625.0
1217,8044505,DIAPRIDE-4 CP 4 MG B/30,SULFAMIDE ANTIDIABETIQUE,10115.0
1218,3218105,DIAREAL POUDRE SACHET 3G B/30,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",2865.0
1219,3321867,DIARLOC 2 CP 2 MG B/20,"GASTRO.E.H., ANTI- DIARRHEIQUE",2095.0
1220,2294833,DIARYL GELULE 200 MG B/20,"GASTRO.E.H., ANTI- DIARRHEIQUE",2225.0
1221,3394175,DIARZIL CP B/l 2,"GASTRO.E.H., ANTI- DIARRHEIQUE",1590.0
1222,8087667,DIBIZIDE - M CP B/30,AUTRES ANTIDIABETIQUES,5280.0
1223,5612060,DIBIZIDE CP 5 MG B/30,SULFAMIDE ANTIDIABETIQUE,3710.0
1224,3144886,"DICACILLINE INJ 1,2MUI B/l","ANTIBIOTIQUE, PENICILLINE",1395.0
1225,3144923,"DICACILLINE PDRE P P INJ 2,4 MUI B/l","ANTIBIOTIQUE, PENICILLINE",1766.0
1226,3144848,DICACILLINE PDRE P P INJ 600000 Ul B/l,"ANTIBIOTIQUE, PENICILLINE",1340.0
1227,3387620,DICETEL CP ENR 100 MG B/30,ANTISPASMODIQUE,7661.0
1228,3272383,DICETEL CP ENR 50 MG B/20,ANTISPASMODIQUE,4135.0
1229,8021415,DICLO DENK CP 50MG PLAQUETTE DE 10,ANTI-INFLAMMATOIRE (AINS),532.0
1230,4212897,DICLO DENK RETARD CP 100 MG B/l 0,ANTI-INFLAMMATOIRE (AINS),1270.0
1231,8021467,DICLO DENK SUPPO 100 MG B/l 0,ANTI-INFLAMMATOIRE (AINS),2470.0
1232,3234457,DICLO PHARMA 5 SUPPO 100MG B/l 0,ANTI-INFLAMMATOIRE (AINS),2305.0
1233,3429143,DICLOAS CP 50 MG B/20,ANTI-INFLAMMATOIRE (AINS),1285.0
1234,8177354,DICLOAS-SP COMPRIMES 50MG/10MG B/20,ANTI-INFLAMMATOIRE (AINS),5540.0
1235,3668224,DICLOCED COLLYRE EN SOLUTION 1MG/ML FL/10 ML,"OPHTALMOLOGIE, ANTI- INFLAMMATOIRES LOCAUX",5400.0
1236,6000465,DICLOFEN CP 25 MG B/30,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1077.0
1237,6000472,DICLOFEN CP 50 MG B/30,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1545.0
1238,5050095,DICLOFEN CP 50 MG B/30,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1545.0
1239,6000489,DICLOFEN SUPPO 100 MG B/l 0,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1545.0
1240,5050093,DICLOFEN SUPPO 75MG B/l 0,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),3515.0
1241,8099512,DICLOFENAC 75 MG UBI DETAIL SOL INJ 75MG/3ML PAR UNITE,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),967.0
1242,3224793,DICLOFENAC GENERIS CP 50MG B/60,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),3545.0
1243,8005540,DICLOPAL GEL P APPL LOC 1% T/100 G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2344.0
1244,8274866,DICLOPAR CP B/l 0,ANTALGIQUE/ANTIPYRETIQUE + AINS,995.0
1245,3179321,DICLOSHA SR CP LP 100MG B/20,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1626.0
1246,9994565,DICLOSIM CP 325MG/50MG B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,2095.0
1247,2473320,DICLOSON AQ 75 MG/1ML IN J B/5,ANTIINFLAMMATOIRE NON STEROÏDIEN,2624.0
1248,8085881,DICOFEN CP 100 MG B/30,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2095.0
1249,2297300,DICOFEN CP 50MG PLAQUETTE DE 10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),423.0
1250,3326374,DICOLATE GEL P APPL LOC 1 % T/30G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1795.0
1251,3381892,DICOPAIN SOL INJ AMP 75MG IM/IV /3ML B/5,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2840.0
1252,2278656,DICYNONE AMP INJ 250MG B/4,"HEMOSTASE, ANTIFIBRINOLTYQUES",3470.0
1253,9000214,DICYNONE GELULE 500 MG B/20,"HEMOSTASE, ANTIFIBRINOLTYQUES",4821.0
1254,3555897,DIFALGEL 1%TUBEDE2OG,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1102.0
1255,3555903,DIFAL GEL P APPL LOC 1 % T/50 G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1930.0
1256,8073961,DIFENASOL CY FL/5 ML,"OPHTALMOLOGIE, ANTI- INFLAMMATOIRES LOCAUX",1150.0
1257,3290599,DIFFU K GELULE 600 MG B/40,COMPLEMENTS MINERAUX,2149.0
1258,6000960,DIFLUZOL GELULE 50 MG B/7,ANTIFONGIQUE SYSTEMIQUE,7045.0
1259,3435694,DIGESTAT SUPPO 100 MG B/l 0,ANTISPASMODIQUE,1545.0
1260,3346609,"DIGOXINE CP 0,25 MG B/30","CARDIOLOGIE, TRAITEMENT DE L’INSUFFISANCE CARDIAQUE",2290.0
1261,3116341,DIGOXINE SOL GTTE BUV FL/60 ML,"CARDIOLOGIE, TRAITEMENT DE L’INSUFFISANCE CARDIAQUE",1825.0
1262,3031768,DILATRANE 200 GELULE LP 200 MG B/30,"PNEUMOLOGIE, ANTIASTHMATIQUE",1793.0
1263,3278799,DILATRANE 300 GELULE LP 300 MG B/30,"PNEUMOLOGIE, ANTIASTHMATIQUE",2110.0
1264,3384206,DILTIGESIC GEL P APPL LOC 2% T/30 G,"GASTRO.E.H., MEDICAMENT DE PROCTOLOGIE",4160.0
1265,3626651,DIMETANE SANS SUCRE SIROP FL/200 ML,"PNEUMOLOGIE, ANTITUSSIF",3019.0
1266,3574317,"DIMI GEL TUBE 1,1 6% TUBE DE 30G",ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1463.0
1267,30470183,DIMIDON SUSP BUV FL/200 ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),3445.0
1268,2472966,DIP-3 CP 360MG B/9,"PARASITOLOGIE, ANTIPALUDIQUE",3965.0
1269,3006188,DIPALUQUINE L CP 40MG/320MG B/l 2,"PARASITOLOGIE, ANTIPALUDIQUE",4507.0
1270,3000127,DIPALUQUINE M CP PELL 40MG/320MG B/9,"PARASITOLOGIE, ANTIPALUDIQUE",3475.0
1271,3000171,DIPALUQUINE S COMPRIMES 40MG/320MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2785.0
1272,3343845,DIPHOS CP PELL 40MG/320MG B/9,"PARASITOLOGIE, ANTIPALUDIQUE",3170.0
1273,8056299,DIPICOR CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6775.0
1274,3032319,DIPIPERON CP 40 MG B/20,"PSYCHIATRIE, NEUROLEPTIQUES",1720.0
1275,3375580,"DIPROLENE CREME 0,05% T/l 5 G","DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1821.0
1276,3275826,DIPROLENE PDET/15G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",1821.0
1277,3230924,DIPROSALIC PDE T/30 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2980.0
1278,3225314,DIPROSEPT CREME T/30 G,"DERMATOLOGIE,DERMOCORTICOIDE(AI S)",2645.0
1279,3230901,"DIPROSONE CREME 0,05% T/30 G","DERMATOLOGIE,DERMOCORTICOIDE(AI S)",3171.0
1280,3230829,"DIPROSONE PDE 0,05% T/30 G","DERMATOLOGIE,DERMOCORTICOIDE(AI S)",3171.0
1281,3200509,DIPROSTENESUSP INJ B/l,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),4521.0
1282,8060214,DISLEP AMP INJ 25 MG B/6,"GASTRO.E.H., NAUSEES ET VOMISSEMENTS",6367.0
1283,8060177,DISLEP CP 25 MG B/20,"GASTRO.E.H., NAUSEES ET VOMISSEMENTS",6366.0
1284,8412573,DISMIGRAS CP 5 MG B/30,HYPOLIPEMIANT,4850.0
1285,3424261,DISMIGRAS CP PELL 10 MG B/30,HYPOLIPEMIANT,4850.0
1286,3505113,DISMIGRAS CP PELL 20MG B/30,HYPOLIPEMIANT,6230.0
1287,8083445,DISTEM COMPRIMES 300MG/380MG B/50,ANTALGIQUE/ANTIPYRETIQUE,4440.0
1288,3411865,DOCETAXEL BIO AMPOULE INJECTABLE DETAIL 20MG/ML,"CANCEROLOGIE, ANTINEOPLASIQUE",12325.0
1289,3411872,DOCETAXEL BIOLYSE AMPOULE INJECTABLE DETAIL 80MG/4ML,"CANCEROLOGIE, ANTINEOPLASIQUE",37577.0
1290,3032880,DOGMATIL FORT CP 200 MG B/l 2,"PSYCHIATRIE, NEUROLEPTIQUES",4100.0
1291,3032897,DOGMATIL GELULE 50 MG B/30,"PSYCHIATRIE, NEUROLEPTIQUES",3667.0
1292,6190394,DOLAMINE CP B/20,ANTALGIQUE/ANTIPYRETIQUE,2370.0
1293,8098984,DOLEX GELULE 50 MG B/30,ANTALGIQUE OPIACE FAIBLE,2551.0
1294,3004157,DOLFLAM GEL P APPL LOC 1 % T/50 G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2025.0
1295,8598570,DOLIMEX SOL INJ P PERFUSION FL/100ML,ANTALGIQUE /ANTIPYRETIQUE,2460.0
1296,2472995,DOLIMEX CP EFF 1000MG B/8,ANTALGIQUE/ANTIPYRETIQUE,6940.0
1297,2473000,DOLIMEX CP EFF 500MG B/l 6,ANTALGIQUE/ANTIPYRETIQUE,5300.0
1298,2472999,DOLIMEX SACHET 300MG B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1860.0
1299,2473001,DOLIMEX SACHET 500MG B/l 2,ANTALGIQUE/ANTIPYRETIQUE,4530.0
1300,2472993,DOLIMEX SUPPO 125MG/10,ANTALGIQUE/ANTIPYRETIQUE,5510.0
1301,2472994,DOLIMEX SUPPO 250MG B/l0,ANTALGIQUE/ANTIPYRETIQUE,2260.0
1302,5015726,DOLIPRANE 1G CP EFF 1G B/8,ANTALGIQUE/ANTIPYRETIQUE,1240.0
1303,3307199,DOLIPRANE CP EFF 500 MG B/l 6,ANTALGIQUE/ANTIPYRETIQUE,1255.0
1304,3595583,DOLIPRANE CP SEC 1000MG B/8,ANTALGIQUE/ANTIPYRETIQUE,1070.0
1305,3499945,DOLIPRANE GD ENF PDRE P SUSP BUV 300 MG/SACH B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1365.0
1306,3481017,DOLIPRANE GD ENF SUPPO 300 MG B/l 0,ANTALGIQUE/ANTIPYRETIQUE,1245.0
1307,3499879,DOLIPRANE J ENF PDRE P SUSP BUV 150 MG/SACH B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1365.0
1308,3480986,DOLIPRANE J ENF SUPPO 200 MG B/l 0,ANTALGIQUE/ANTIPYRETIQUE,1245.0
1309,3499833,DOLIPRANE NOUR PDRE P SUSP BUV 100 MG/SACH B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1365.0
1310,3480911,DOLIPRANE NOUR SUPPO 100 MG B/l 0,ANTALGIQUE/ANTIPYRETIQUE,1245.0
1311,3499916,DOLIPRANE PDRE P SUSP BUV 200 MG/SACH B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1365.0
1312,3233154,DOLIPRANE PDRE P SUSP BUV 500 MG/SACH B/l 2,ANTALGIQUE/ANTIPYRETIQUE,1185.0
1313,3766501,DOLIPRANE VITAMINE C CP 500MG/150MG B/2X8,ANTALGIQUE/ANTIPYRETIQUE,1340.0
1314,8015691,DOLIPREX PDRE P SOL BUV EN SACH B/8,"ORL,ANTI-GRIPPE,ANTI-RHUME",1791.0
1315,3412559,DOLIRHUME CP B/l 6,"ORL,ANTI-GRIPPE,ANTI-RHUME",2686.0
1316,8644990,DOLMUSCP B/l 0,ANTALGIQUE/ANTIPYRETIQUE + AINS,2470.0
1317,9001490,"DOLNESS CP PELLICULES 325MG/37,5MG B/20","ANTALGIQUE/ANTIPYRETIQUE, ASSOCIATION CONTENANT UN OPIACE",3171.0
1318,3201275,DOLO DENK GEL P APPL LOC T/20 G,ANTI-INFLAMMATOIRE (AINS),2358.0
1319,3271476,DOLO DENK GEL P APPL LOC T/50 G,ANTI-INFLAMMATOIRE (AINS),4546.0
1320,3427035,DOLODENT SOL GINGIVAL FL/36G,"STOMATOLOGIE,BAIN DE BOUCHE,GARGARISME ET GELS",3031.0
1321,3217788,DOLOMAX GEL P APPL LOC 1 % T/30G,ANTI-INFLAMMATOIRE (AINS),1795.0
1322,8418414,DOLOSPASM CP PELL 10MG/500MG B/10,ANTISPASMODIQUE,1845.0
1323,2026972,DOLOTREN AMPOULE INJECTABLE 75MG FL/3ML B/6,ANTI-INFLAMMATOIRE (AINS),3171.0
1324,8005706,DOLOTREN CP DISPERS B/40,ANTI-INFLAMMATOIRE (AINS),5280.0
1325,2026966,DOLOTREN GEL P APPL LOC T/60 G,ANTI-INFLAMMATOIRE (AINS),3050.0
1326,8076439,DOLOWIN PLUS COMPRIMES PELLICULES 100MG/500MG B/30,ANTALGIQUE/ANTIPYRETIQUE + AINS,5544.0
1327,8020143,DOLOWIN-SR CP LP 200 MG B/30,ANTI-INFLAMMATOIRE (AINS),6920.0
1328,2276232,DOLREX LP 100 GELULE B/20,ANTI-INFLAMMATOIRE (AINS),2530.0
1329,3357804,DOLVEN CP PELL 400 MG B/20,ANTI-INFLAMMATOIRE (AINS),1455.0
1330,3357767,DOLVEN GELULE 200 MG B/20,ANTI-INFLAMMATOIRE (AINS),955.0
1331,3357728,DOLVEN PEDIATRIQUE SUSP BUVABLE 20MG/ML FL/120ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1325.0
1332,3045411,DOLYC CP 1000MG B/10,ANTALGIQUE/ANTIPYRETIQUE,840.0
